,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CHI,92.9,.631,15.8,21.6,.100,117.3
1,MIN,92.9,.537,12.6,18.6,.173,108.7
