,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,PHO,93.7,.530,11.2,41.3,.071,119.6
1,BOS,93.7,.669,7.9,15.8,.090,135.6
