,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,UTA,107.9,.394,14.2,25.4,.245,89.9
1,BOS,107.9,.528,10.2,18.0,.344,116.7
