,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIN,103.7,.552,15.4,29.5,.241,112.9
1,SAS,103.7,.533,12.2,15.6,.130,106.1
