,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,DET,92.8,.587,17.5,25.0,.227,113.1
1,CHI,92.8,.408,5.4,27.8,.153,102.3
