,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,UTA,94.2,.467,15.1,23.5,.078,96.6
1,MEM,94.2,.569,14.2,30.8,.069,111.5
