,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIA,95.2,.591,10.1,5.4,.134,113.4
1,DAL,95.2,.552,8.5,22.2,.207,119.8
