,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CHO,97.7,.520,18.2,9.8,.250,100.3
1,BOS,97.7,.587,5.2,35.6,.087,134.1
