,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CLE,94.8,.538,9.6,9.3,.106,107.4
1,CHI,94.8,.459,11.2,42.4,.282,115.3
