,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,PHO,102.8,.516,12.2,18.8,.160,108.9
1,GSW,102.8,.530,10.9,28.3,.059,109.9
