,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,PHI,97.5,.563,13.0,34.2,.307,129.2
1,ATL,97.5,.517,11.3,31.8,.270,118.9
