,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,SAS,93.3,.456,12.3,31.9,.220,110.4
1,BRK,93.3,.661,10.7,25.7,.092,131.9
