,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NYK,92.8,.523,12.1,28.9,.209,116.4
1,BRK,92.8,.521,11.8,29.5,.042,111.0
