,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CHI,101.4,.494,11.4,21.7,.299,110.4
1,IND,101.4,.477,14.7,24.4,.239,103.5
