,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIA,92.2,.500,15.5,27.7,.115,105.2
1,BRK,92.2,.590,11.1,20.5,.256,121.5
