,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,BOS,96.3,.515,10.6,21.6,.186,110.9
1,CHO,96.3,.505,10.4,31.5,.154,113.7
