,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,IND,102.3,.631,11.1,12.8,.125,119.3
1,DET,102.3,.439,12.7,25.5,.267,100.7
