,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,WAS,102.5,.531,7.9,18.4,.112,112.2
1,LAC,102.5,.644,7.1,23.1,.202,136.6
