,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,TOR,100.7,.544,14.4,21.4,.392,116.2
1,MIL,100.7,.500,11.2,24.0,.181,110.3
